0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
0.09582904869736986,6.0,2.6187512292375836,0.0047353540128506,1.3588528441977618e-08,0.0029070377349853516,1.1920928955078125e-07,33815.0,7285.0,33816.0,233485.08535590855,7.757119923731782e-11,1105.6057195663452,18512.0
0.14887473785552824,6.0,3.292561854535816,0.005407665368447737,6.017614266253181e-09,0.00372469425201416,2.6702880859375e-05,35705.0,10584.0,35703.0,315921.06620651315,1.0146833847423826e-12,1708.3409742116928,23638.0
0.2366796375023801,6.0,3.841743289833037,0.007764677634862409,-3.507370336222476e-09,0.005406856536865234,-4.172325134277344e-06,36008.0,10565.0,36010.0,326171.8166309134,-1.1771842198993459e-11,2532.4573752880096,23732.0
0.14722616423284637,7.0,3.048887346822467,0.00480278775613618,8.746869854548547e-09,0.0027288198471069336,-1.9073486328125e-06,35844.0,8642.0,35847.0,291855.1501527075,9.154812452392107e-12,1401.6791982650757,18148.0
0.21316313828470485,6.0,4.260893735876692,0.00563200268869117,-1.7054772277149058e-09,0.003752589225769043,-1.7881393432617188e-05,47271.0,14324.0,47268.0,414229.2266169377,-2.3983841029656575e-11,2332.8599936962128,31100.0
0.1727880155431981,6.0,3.682489253174079,0.0053232396140300625,6.0823247932022095e-09,0.003925919532775879,-1.5497207641601562e-05,37740.0,11573.0,37743.0,351248.887632181,1.1235465688431048e-11,1869.729358792305,26753.0
0.19475252697392137,5.0,3.6686957564286504,0.007282231575570689,8.393979766650931e-10,0.0057953596115112305,1.4185905456542969e-05,37674.0,10897.0,37674.0,330775.68523959594,-5.0880481821088795e-12,2408.6636337041855,27394.0
0.26363429690029105,6.0,3.319085695487983,0.007577630084444132,1.935323254217259e-09,0.005456447601318359,-2.8014183044433594e-05,31594.0,11286.0,31595.0,349211.3177142312,-1.1923927520509665e-11,2646.040226817131,24141.0
0.20160907996890215,6.0,3.6679696906407937,0.006160516969389221,-1.6830034718538152e-08,0.004400134086608887,-8.106231689453125e-06,35877.0,11298.0,35874.0,342036.26355730236,-4.232693563003789e-12,2107.0384954214096,23163.0
0.272042246988031,6.0,3.9166011298481425,0.007658820349378973,6.336363525934869e-09,0.005700111389160156,-1.609325408935547e-05,37567.0,11167.0,37566.0,347675.14531978685,-2.5561877522629485e-11,2662.627188563347,23346.0
0.32687754217864723,6.0,3.8780222121932693,0.00984308521910033,1.4175295462666368e-09,0.007535457611083984,-1.5497207641601562e-06,32677.0,10621.0,32672.0,330278.0665626557,-3.1076149676249675e-12,3250.6493643522263,21136.0
0.28159751073843753,6.0,3.7764173000202876,0.0067329691055929225,5.151009012693087e-09,0.005083560943603516,-5.698204040527344e-05,37558.0,12298.0,37563.0,380440.10831995413,-1.2908091544778618e-12,2561.3763060569763,25764.0
0.332597928532396,6.0,3.8224622959038164,0.009801049903329478,1.6675933181894494e-09,0.007702350616455078,-6.67572021484375e-06,32690.0,10962.0,32688.0,340517.6866202136,1.255121585981674e-11,3337.130078434944,24501.0
0.2274624059192184,6.0,3.90140301065192,0.006547366866016768,3.552497396431679e-09,0.004793286323547363,-5.364418029785156e-05,38483.0,11768.0,38490.0,360982.8073014699,7.874632688558935e-12,2363.3833755254745,25337.0
0.25223042605144863,6.0,4.064554547359861,0.006994908752566515,-1.2794075928808402e-09,0.004968047142028809,7.271766662597656e-06,35593.0,11461.0,35596.0,367128.8119527485,1.4988979216713752e-12,2567.907947063446,26474.0
0.2642442083223614,6.0,4.243425760020582,0.007252728698563034,3.404772652322575e-10,0.004810214042663574,-4.172325134277344e-06,41910.0,12887.0,41908.0,380956.1674928119,-8.749422802534523e-12,2762.8182067871094,30690.0
0.2930803055922727,7.0,3.612529159920545,0.007744234867951804,-6.600198697194425e-10,0.006047368049621582,-5.0067901611328125e-06,33946.0,11022.0,33946.0,344090.6625637576,1.0594666800357526e-12,2664.566635251045,26093.0
0.29855718295455275,6.0,3.7747735193907177,0.009163161292752698,1.2263236892110121e-08,0.006937861442565918,6.079673767089844e-06,34603.0,10481.0,34602.0,330274.4504289283,6.692453385584996e-13,3026.1065274477005,23021.0
0.2526712917565218,6.0,3.979107188778891,0.00655124759759727,4.048010137910471e-09,0.0045702457427978516,-2.8967857360839844e-05,46501.0,12302.0,46502.0,376343.86611654854,-7.89867918959611e-14,2465.411354660988,28711.0
0.2868853248584835,6.0,4.021488594046053,0.008211403917074103,-2.6099203429608974e-09,0.006557822227478027,-2.4199485778808594e-05,36279.0,11248.0,36278.0,346653.07175304595,-1.2885286762709155e-11,2846.3271511793137,26225.0
0.26961075525164874,7.0,3.6957538613200933,0.007341375932481314,4.956651539498064e-09,0.005499839782714844,-1.8477439880371094e-05,36632.0,11048.0,36635.0,347161.5506664807,2.829426054518593e-12,2548.507265329361,22667.0
0.2714750765118739,6.0,3.8468458369108247,0.00785637124786328,-1.0090266346499018e-09,0.006013035774230957,-6.67572021484375e-06,38140.0,11523.0,38141.0,348187.93052998645,1.969744880672019e-12,2735.329208254814,25553.0
0.30497927588670404,6.0,3.5171197853637737,0.008005252859115021,-3.068920384402104e-10,0.005983233451843262,-1.2636184692382812e-05,35419.0,11387.0,35422.0,358941.11609972065,-9.81433842152828e-14,2873.2373509407043,25764.0
